target_intended_observed,model_intended_observed,model,subset,f1_score_mean,f1_score_std,f1_score_ci_lower,f1_score_ci_upper,f1_score_anger_mean,f1_score_anger_std,f1_score_anger_ci_lower,f1_score_anger_ci_upper,f1_score_disgust_mean,f1_score_disgust_std,f1_score_disgust_ci_lower,f1_score_disgust_ci_upper,f1_score_fear_mean,f1_score_fear_std,f1_score_fear_ci_lower,f1_score_fear_ci_upper,f1_score_happy_mean,f1_score_happy_std,f1_score_happy_ci_lower,f1_score_happy_ci_upper,f1_score_neutral_mean,f1_score_neutral_std,f1_score_neutral_ci_lower,f1_score_neutral_ci_upper,f1_score_sad_mean,f1_score_sad_std,f1_score_sad_ci_lower,f1_score_sad_ci_upper,recall_mean,recall_std,recall_ci_lower,recall_ci_upper,recall_anger_mean,recall_anger_std,recall_anger_ci_lower,recall_anger_ci_upper,recall_disgust_mean,recall_disgust_std,recall_disgust_ci_lower,recall_disgust_ci_upper,recall_fear_mean,recall_fear_std,recall_fear_ci_lower,recall_fear_ci_upper,recall_happy_mean,recall_happy_std,recall_happy_ci_lower,recall_happy_ci_upper,recall_neutral_mean,recall_neutral_std,recall_neutral_ci_lower,recall_neutral_ci_upper,recall_sad_mean,recall_sad_std,recall_sad_ci_lower,recall_sad_ci_upper
intended,intended,cnn_lstm_attention,cauc,0.59428,0.01353,0.59158,0.59698,0.73173,0.01989,0.72776,0.73570,0.51921,0.03282,0.51266,0.52575,0.51002,0.03172,0.50369,0.51634,0.56942,0.03602,0.56224,0.57661,0.65826,0.02841,0.65259,0.66392,0.57706,0.02496,0.57208,0.58203,0.57246,0.01565,0.56934,0.57558,0.72615,0.05368,0.71545,0.73686,0.45709,0.05992,0.44514,0.46904,0.47929,0.06588,0.46616,0.49243,0.53500,0.06741,0.52156,0.54845,0.63657,0.06308,0.62399,0.64915,0.60066,0.05997,0.58871,0.61262
intended,intended,cnn_lstm_attention,non-cauc,0.58981,0.01558,0.58670,0.59292,0.72047,0.02895,0.71470,0.72625,0.55697,0.04564,0.54787,0.56607,0.50856,0.04177,0.50023,0.51689,0.56750,0.03852,0.55982,0.57518,0.64489,0.03642,0.63762,0.65215,0.54047,0.03837,0.53282,0.54812,0.57372,0.01619,0.57049,0.57695,0.76294,0.05155,0.75266,0.77322,0.51141,0.07777,0.49590,0.52692,0.46200,0.06825,0.44839,0.47561,0.51817,0.06877,0.50446,0.53189,0.65599,0.06994,0.64204,0.66993,0.53180,0.06634,0.51857,0.54503
intended,intended,cnn_lstm_attention_multitask,male,0.57375,0.01427,0.57090,0.57659,0.72349,0.02134,0.71924,0.72775,0.52182,0.03459,0.51493,0.52872,0.48062,0.03957,0.47273,0.48851,0.53234,0.04035,0.52429,0.54038,0.62074,0.02957,0.61485,0.62664,0.56346,0.04071,0.55534,0.57157,0.54364,0.01626,0.54039,0.54688,0.71827,0.04920,0.70845,0.72808,0.46265,0.06047,0.45059,0.47471,0.43584,0.06834,0.42222,0.44947,0.47577,0.07074,0.46167,0.48988,0.60933,0.06358,0.59665,0.62201,0.55995,0.07631,0.54474,0.57517
intended,intended,cnn_lstm_attention_multitask,female,0.61432,0.01426,0.61148,0.61716,0.74063,0.02813,0.73502,0.74624,0.55345,0.04120,0.54524,0.56167,0.54703,0.03611,0.53983,0.55423,0.59277,0.03251,0.58629,0.59926,0.67696,0.03230,0.67051,0.68340,0.57508,0.03462,0.56818,0.58199,0.58572,0.01820,0.58209,0.58935,0.74238,0.06044,0.73033,0.75444,0.47832,0.06450,0.46546,0.49118,0.51013,0.06998,0.49618,0.52409,0.54876,0.06629,0.53554,0.56198,0.66358,0.06556,0.65051,0.67666,0.57114,0.06986,0.55720,0.58507
intended,intended,cnn_lstm_attention_multitask,cauc,0.59578,0.01271,0.59324,0.59831,0.73692,0.02091,0.73275,0.74109,0.52819,0.03560,0.52109,0.53529,0.51211,0.03345,0.50544,0.51878,0.56003,0.03397,0.55325,0.56680,0.65506,0.02952,0.64917,0.66094,0.58236,0.03062,0.57626,0.58847,0.56472,0.01646,0.56144,0.56800,0.72038,0.05186,0.71004,0.73072,0.45431,0.05811,0.44272,0.46589,0.47489,0.06226,0.46248,0.48731,0.51085,0.06557,0.49777,0.52393,0.63895,0.05881,0.62722,0.65068,0.58894,0.06744,0.57549,0.60239
intended,intended,cnn_lstm_attention_multitask,non-cauc,0.58770,0.01752,0.58420,0.59119,0.72214,0.02939,0.71627,0.72800,0.55383,0.03758,0.54634,0.56132,0.51455,0.04055,0.50646,0.52263,0.56392,0.04355,0.55523,0.57260,0.63128,0.04020,0.62326,0.63929,0.54047,0.04660,0.53118,0.54977,0.56053,0.01884,0.55677,0.56429,0.74700,0.05196,0.73664,0.75737,0.50249,0.06251,0.49003,0.51496,0.46327,0.06662,0.44998,0.47655,0.50746,0.06773,0.49395,0.52097,0.62664,0.06924,0.61284,0.64045,0.51631,0.07333,0.50169,0.53094
intended,observed,svm,male,0.23999,0.01213,0.23757,0.24241,0.59147,0.03003,0.58548,0.59746,0.19733,0.03487,0.19038,0.20429,0.19993,0.03009,0.19393,0.20593,0.05215,0.01979,0.04820,0.05609,0.32530,0.01823,0.32167,0.32894,0.07376,0.02921,0.06793,0.07958,0.28992,0.00990,0.28795,0.29189,0.51343,0.03694,0.50606,0.52080,0.12600,0.02526,0.12096,0.13104,0.13096,0.02260,0.12645,0.13547,0.02768,0.01078,0.02553,0.02983,0.90088,0.02169,0.89655,0.90520,0.04057,0.01673,0.03723,0.04391
intended,observed,svm,female,0.27008,0.01341,0.26741,0.27276,0.59496,0.03196,0.58859,0.60133,0.12144,0.02609,0.11624,0.12665,0.23723,0.03092,0.23107,0.24340,0.18134,0.03665,0.17403,0.18865,0.34380,0.01968,0.33988,0.34773,0.14170,0.03280,0.13516,0.14825,0.29811,0.01190,0.29574,0.30049,0.51264,0.03794,0.50507,0.52020,0.07518,0.01808,0.07158,0.07879,0.16247,0.02429,0.15762,0.16731,0.10774,0.02446,0.10286,0.11262,0.84503,0.03139,0.83877,0.85129,0.08563,0.02148,0.08134,0.08991
intended,observed,svm,cauc,0.25717,0.01060,0.25506,0.25928,0.59999,0.02528,0.59495,0.60503,0.14208,0.02299,0.13750,0.14667,0.21689,0.02654,0.21160,0.22218,0.12997,0.02818,0.12435,0.13559,0.33707,0.01762,0.33355,0.34058,0.11701,0.02749,0.11153,0.12249,0.29388,0.00902,0.29208,0.29568,0.51505,0.02991,0.50909,0.52102,0.08758,0.01584,0.08442,0.09074,0.14791,0.02090,0.14374,0.15208,0.07303,0.01714,0.06962,0.07645,0.87174,0.02262,0.86723,0.87626,0.06794,0.01714,0.06452,0.07136
intended,observed,svm,non-cauc,0.25052,0.01513,0.24750,0.25354,0.58018,0.03902,0.57240,0.58796,0.20097,0.04330,0.19233,0.20960,0.22026,0.03871,0.21254,0.22798,0.08852,0.02880,0.08277,0.09426,0.32581,0.02181,0.32146,0.33016,0.08739,0.03568,0.08027,0.09450,0.29349,0.01263,0.29097,0.29601,0.50912,0.04601,0.49995,0.51830,0.13147,0.03114,0.12526,0.13768,0.14168,0.02821,0.13605,0.14730,0.04927,0.01675,0.04593,0.05262,0.88001,0.03092,0.87385,0.88618,0.04939,0.02110,0.04518,0.05359
