target_intended_observed,model_intended_observed,model,subset,f1_score_mean,f1_score_std,f1_score_ci_lower,f1_score_ci_upper,f1_score_anger_mean,f1_score_anger_std,f1_score_anger_ci_lower,f1_score_anger_ci_upper,f1_score_disgust_mean,f1_score_disgust_std,f1_score_disgust_ci_lower,f1_score_disgust_ci_upper,f1_score_fear_mean,f1_score_fear_std,f1_score_fear_ci_lower,f1_score_fear_ci_upper,f1_score_happy_mean,f1_score_happy_std,f1_score_happy_ci_lower,f1_score_happy_ci_upper,f1_score_neutral_mean,f1_score_neutral_std,f1_score_neutral_ci_lower,f1_score_neutral_ci_upper,f1_score_sad_mean,f1_score_sad_std,f1_score_sad_ci_lower,f1_score_sad_ci_upper,recall_mean,recall_std,recall_ci_lower,recall_ci_upper,recall_anger_mean,recall_anger_std,recall_anger_ci_lower,recall_anger_ci_upper,recall_disgust_mean,recall_disgust_std,recall_disgust_ci_lower,recall_disgust_ci_upper,recall_fear_mean,recall_fear_std,recall_fear_ci_lower,recall_fear_ci_upper,recall_happy_mean,recall_happy_std,recall_happy_ci_lower,recall_happy_ci_upper,recall_neutral_mean,recall_neutral_std,recall_neutral_ci_lower,recall_neutral_ci_upper,recall_sad_mean,recall_sad_std,recall_sad_ci_lower,recall_sad_ci_upper
observed,intended,svm,male,0.29541,0.01227,0.29296,0.29785,0.61386,0.03079,0.60772,0.62000,0.25836,0.03728,0.25093,0.26580,0.27815,0.03122,0.27192,0.28438,0.19684,0.03771,0.18932,0.20436,0.24075,0.02248,0.23627,0.24523,0.18448,0.03030,0.17844,0.19052,0.31796,0.01626,0.31472,0.32121,0.59158,0.03899,0.58380,0.59936,0.25983,0.04233,0.25139,0.26827,0.29758,0.03505,0.29059,0.30457,0.29234,0.05795,0.28078,0.30390,0.13959,0.01492,0.13661,0.14256,0.32687,0.05187,0.31653,0.33722
observed,intended,svm,female,0.32524,0.01308,0.32263,0.32785,0.61879,0.03177,0.61245,0.62513,0.23853,0.03720,0.23111,0.24595,0.26600,0.03483,0.25905,0.27294,0.32812,0.03632,0.32088,0.33537,0.24061,0.02374,0.23588,0.24535,0.25939,0.03261,0.25289,0.26590,0.32739,0.01528,0.32434,0.33043,0.59976,0.03698,0.59239,0.60714,0.24669,0.04226,0.23827,0.25512,0.24321,0.03495,0.23624,0.25018,0.43130,0.05784,0.41976,0.44283,0.14131,0.01592,0.13813,0.14448,0.30205,0.04267,0.29355,0.31056
observed,intended,svm,cauc,0.31777,0.00990,0.31580,0.31975,0.62490,0.02607,0.61970,0.63010,0.24775,0.02871,0.24202,0.25347,0.26999,0.02987,0.26403,0.27595,0.28946,0.03002,0.28347,0.29544,0.24259,0.01928,0.23874,0.24643,0.23194,0.02716,0.22653,0.23736,0.32875,0.01299,0.32616,0.33134,0.60324,0.03245,0.59677,0.60971,0.24989,0.03117,0.24367,0.25611,0.26549,0.03120,0.25927,0.27171,0.40118,0.04861,0.39149,0.41088,0.14155,0.01297,0.13896,0.14413,0.31113,0.03730,0.30369,0.31857
observed,intended,svm,non-cauc,0.30037,0.01583,0.29721,0.30352,0.59994,0.03476,0.59301,0.60687,0.25208,0.04868,0.24237,0.26178,0.27704,0.03442,0.27017,0.28390,0.23170,0.04238,0.22324,0.24015,0.23695,0.02457,0.23205,0.24184,0.20451,0.04127,0.19628,0.21274,0.31454,0.02012,0.31052,0.31855,0.58046,0.04218,0.57205,0.58887,0.26061,0.05553,0.24954,0.27169,0.27600,0.03802,0.26842,0.28358,0.32009,0.06038,0.30804,0.33213,0.13786,0.01642,0.13459,0.14114,0.31219,0.06486,0.29925,0.32512
observed,intended,cnn_lstm,male,0.35655,0.01699,0.35316,0.35994,0.63614,0.02714,0.63073,0.64156,0.35427,0.03693,0.34691,0.36163,0.34069,0.04138,0.33244,0.34894,0.26965,0.03783,0.26211,0.27719,0.34485,0.04438,0.33600,0.35370,0.19368,0.02870,0.18796,0.19940,0.44670,0.02134,0.44244,0.45096,0.67310,0.05707,0.66172,0.68448,0.41498,0.05487,0.40404,0.42592,0.40634,0.06906,0.39257,0.42011,0.55629,0.07216,0.54190,0.57068,0.21263,0.03406,0.20584,0.21943,0.41686,0.08336,0.40023,0.43348
observed,intended,cnn_lstm,female,0.40457,0.01665,0.40125,0.40789,0.64310,0.02979,0.63716,0.64905,0.31653,0.03644,0.30927,0.32380,0.36916,0.03433,0.36231,0.37600,0.42879,0.04070,0.42068,0.43691,0.38351,0.04008,0.37551,0.39150,0.28632,0.03767,0.27881,0.29383,0.45928,0.01817,0.45565,0.46290,0.69483,0.05989,0.68289,0.70677,0.37235,0.05969,0.36044,0.38425,0.40138,0.06024,0.38937,0.41339,0.64117,0.07442,0.62633,0.65601,0.24440,0.03288,0.23784,0.25096,0.40153,0.07340,0.38689,0.41617
observed,intended,cnn_lstm,cauc,0.37976,0.01498,0.37678,0.38275,0.63874,0.02656,0.63345,0.64404,0.33330,0.03043,0.32723,0.33936,0.34467,0.03149,0.33839,0.35095,0.35755,0.03604,0.35036,0.36474,0.35690,0.04182,0.34856,0.36524,0.24741,0.02893,0.24164,0.25318,0.45142,0.01776,0.44788,0.45496,0.67172,0.05735,0.66029,0.68316,0.39116,0.04978,0.38123,0.40109,0.39003,0.05584,0.37889,0.40116,0.62731,0.07102,0.61315,0.64147,0.22262,0.03292,0.21605,0.22918,0.40566,0.06962,0.39178,0.41955
observed,intended,cnn_lstm,non-cauc,0.38324,0.02062,0.37913,0.38735,0.64097,0.02604,0.63578,0.64616,0.34489,0.04631,0.33566,0.35412,0.37758,0.04232,0.36914,0.38602,0.33453,0.04974,0.32461,0.34445,0.37203,0.04256,0.36354,0.38052,0.22943,0.04201,0.22105,0.23781,0.45850,0.02685,0.45315,0.46386,0.70456,0.05864,0.69287,0.71625,0.40407,0.06625,0.39086,0.41728,0.43345,0.07212,0.41907,0.44784,0.56261,0.08578,0.54550,0.57971,0.23401,0.03379,0.22727,0.24075,0.41231,0.09053,0.39426,0.43036
observed,intended,cnn_lstm_attention,male,0.36056,0.01617,0.35733,0.36378,0.64635,0.02727,0.64091,0.65179,0.36146,0.03786,0.35390,0.36901,0.34147,0.03283,0.33492,0.34802,0.27660,0.03816,0.26899,0.28421,0.34174,0.04297,0.33317,0.35031,0.19572,0.03063,0.18962,0.20183,0.44811,0.02087,0.44395,0.45227,0.68128,0.04927,0.67145,0.69110,0.41864,0.05931,0.40681,0.43047,0.41125,0.06764,0.39776,0.42474,0.54552,0.08178,0.52921,0.56183,0.20987,0.03265,0.20336,0.21638,0.42211,0.07139,0.40787,0.43634
observed,intended,cnn_lstm_attention,female,0.41200,0.01435,0.40913,0.41486,0.65065,0.02672,0.64532,0.65598,0.33036,0.03351,0.32368,0.33704,0.38037,0.03350,0.37369,0.38705,0.43678,0.03681,0.42944,0.44412,0.37668,0.03496,0.36971,0.38365,0.29713,0.03202,0.29075,0.30352,0.46622,0.01582,0.46306,0.46937,0.70656,0.05462,0.69566,0.71745,0.38300,0.06298,0.37044,0.39556,0.41953,0.05846,0.40787,0.43119,0.63057,0.06747,0.61711,0.64402,0.23772,0.02797,0.23214,0.24330,0.41993,0.05594,0.40878,0.43109
observed,intended,cnn_lstm_attention,cauc,0.38745,0.01233,0.38499,0.38990,0.65050,0.02507,0.64550,0.65550,0.34331,0.02716,0.33789,0.34872,0.35213,0.02718,0.34671,0.35755,0.36535,0.03408,0.35856,0.37215,0.35326,0.03676,0.34593,0.36059,0.26011,0.02688,0.25476,0.26547,0.45759,0.01527,0.45455,0.46064,0.68286,0.05143,0.67261,0.69312,0.39830,0.05246,0.38784,0.40877,0.40302,0.05719,0.39162,0.41443,0.61486,0.07422,0.60006,0.62966,0.21889,0.02849,0.21321,0.22458,0.42761,0.05419,0.41680,0.43841
observed,intended,cnn_lstm_attention,non-cauc,0.38527,0.01905,0.38147,0.38907,0.64475,0.02864,0.63904,0.65046,0.35561,0.04979,0.34569,0.36554,0.38117,0.03889,0.37342,0.38893,0.34399,0.04877,0.33427,0.35372,0.36501,0.04227,0.35658,0.37344,0.22109,0.04154,0.21280,0.22937,0.45883,0.02497,0.45385,0.46381,0.71170,0.04992,0.70174,0.72165,0.41065,0.07288,0.39612,0.42519,0.44412,0.07367,0.42943,0.45881,0.55630,0.07947,0.54045,0.57214,0.22810,0.03301,0.22151,0.23468,0.40209,0.07718,0.38670,0.41749
observed,intended,cnn_lstm_attention_multitask,male,0.36490,0.01632,0.36165,0.36815,0.65097,0.02551,0.64589,0.65606,0.36973,0.03707,0.36233,0.37712,0.34305,0.03805,0.33546,0.35064,0.29356,0.04248,0.28508,0.30203,0.33848,0.03978,0.33054,0.34641,0.19361,0.02943,0.18775,0.19948,0.44288,0.02013,0.43886,0.44689,0.67579,0.04767,0.66628,0.68530,0.41539,0.05835,0.40375,0.42702,0.40878,0.06961,0.39490,0.42267,0.54631,0.08177,0.53001,0.56262,0.20748,0.02992,0.20151,0.21344,0.40352,0.08002,0.38756,0.41947
observed,intended,cnn_lstm_attention_multitask,female,0.41513,0.01756,0.41163,0.41863,0.65874,0.02823,0.65311,0.66437,0.33382,0.03317,0.32721,0.34043,0.38418,0.03530,0.37714,0.39122,0.44078,0.04476,0.43185,0.44971,0.37416,0.03678,0.36683,0.38150,0.29911,0.03431,0.29227,0.30595,0.46018,0.01945,0.45630,0.46406,0.69893,0.05194,0.68857,0.70929,0.38084,0.05593,0.36968,0.39199,0.41691,0.06051,0.40484,0.42898,0.62311,0.07022,0.60910,0.63711,0.23619,0.02986,0.23024,0.24215,0.40511,0.06213,0.39272,0.41750
observed,intended,cnn_lstm_attention_multitask,cauc,0.39275,0.01417,0.38993,0.39558,0.65598,0.02279,0.65143,0.66052,0.35085,0.03220,0.34443,0.35727,0.35572,0.02824,0.35009,0.36136,0.37868,0.03909,0.37088,0.38647,0.35687,0.03423,0.35005,0.36370,0.25841,0.02759,0.25291,0.26392,0.45223,0.01728,0.44878,0.45567,0.67773,0.04567,0.66862,0.68684,0.39520,0.05483,0.38426,0.40613,0.40134,0.05525,0.39032,0.41236,0.60829,0.07294,0.59375,0.62284,0.22184,0.02651,0.21656,0.22713,0.40896,0.05955,0.39709,0.42084
observed,intended,cnn_lstm_attention_multitask,non-cauc,0.38671,0.01862,0.38299,0.39042,0.65277,0.02677,0.64744,0.65811,0.35831,0.04010,0.35032,0.36631,0.38231,0.04369,0.37360,0.39102,0.35272,0.05551,0.34165,0.36379,0.34892,0.04042,0.34086,0.35698,0.22519,0.04264,0.21669,0.23370,0.45278,0.02334,0.44813,0.45744,0.70341,0.05019,0.69340,0.71342,0.40844,0.06105,0.39626,0.42061,0.43990,0.07341,0.42526,0.45454,0.55704,0.07904,0.54128,0.57280,0.21587,0.03099,0.20969,0.22205,0.39203,0.08300,0.37548,0.40859
observed,observed,svm,male,0.35127,0.01523,0.34823,0.35431,0.61917,0.02763,0.61366,0.62468,0.20899,0.03270,0.20247,0.21551,0.28334,0.03698,0.27596,0.29071,0.10228,0.05417,0.09147,0.11308,0.81286,0.00878,0.81111,0.81461,0.08099,0.04040,0.07293,0.08905,0.31276,0.01251,0.31027,0.31526,0.55857,0.03860,0.55088,0.56627,0.15119,0.02781,0.14565,0.15674,0.21676,0.03485,0.20981,0.22371,0.06250,0.03476,0.05557,0.06943,0.83406,0.01445,0.83118,0.83694,0.05348,0.02785,0.04793,0.05903
observed,observed,svm,female,0.36151,0.01555,0.35841,0.36461,0.61390,0.03155,0.60761,0.62019,0.15651,0.03980,0.14858,0.16445,0.28160,0.03449,0.27472,0.28848,0.21630,0.04699,0.20693,0.22567,0.73854,0.01195,0.73616,0.74092,0.16223,0.03757,0.15474,0.16972,0.31706,0.01331,0.31440,0.31971,0.55556,0.04052,0.54748,0.56364,0.11103,0.03097,0.10486,0.11721,0.21127,0.02989,0.20531,0.21723,0.15217,0.03833,0.14452,0.15981,0.76157,0.01912,0.75776,0.76538,0.11074,0.02963,0.10483,0.11665
observed,observed,svm,cauc,0.36580,0.01331,0.36314,0.36845,0.62514,0.02477,0.62020,0.63008,0.17461,0.03020,0.16859,0.18063,0.27846,0.02969,0.27254,0.28438,0.19053,0.04969,0.18062,0.20044,0.77888,0.00953,0.77698,0.78078,0.14716,0.03442,0.14030,0.15403,0.32137,0.01094,0.31919,0.32356,0.56308,0.03130,0.55684,0.56932,0.12263,0.02348,0.11795,0.12732,0.21383,0.02726,0.20839,0.21926,0.12747,0.03771,0.11995,0.13499,0.80236,0.01457,0.79945,0.80526,0.09888,0.02601,0.09369,0.10406
observed,observed,svm,non-cauc,0.35219,0.01818,0.34857,0.35582,0.60178,0.03902,0.59400,0.60956,0.20484,0.04527,0.19581,0.21387,0.29071,0.04771,0.28120,0.30022,0.13908,0.05748,0.12761,0.15054,0.78385,0.01324,0.78121,0.78649,0.09290,0.04721,0.08349,0.10232,0.31159,0.01493,0.30862,0.31457,0.54656,0.04967,0.53666,0.55646,0.15238,0.03907,0.14459,0.16017,0.21312,0.04174,0.20480,0.22145,0.09123,0.04026,0.08320,0.09926,0.80303,0.01967,0.79911,0.80695,0.06324,0.03458,0.05635,0.07014
observed,observed,cnn_lstm,male,0.44747,0.01777,0.44392,0.45101,0.67241,0.02862,0.66671,0.67812,0.33986,0.04790,0.33031,0.34941,0.40554,0.04455,0.39665,0.41442,0.30064,0.06690,0.28730,0.31398,0.83056,0.01248,0.82807,0.83305,0.13579,0.05057,0.12570,0.14588,0.43193,0.02020,0.42790,0.43596,0.68201,0.06372,0.66930,0.69472,0.30760,0.07249,0.29314,0.32206,0.35927,0.07137,0.34504,0.37350,0.27024,0.08535,0.25322,0.28726,0.85591,0.03161,0.84960,0.86221,0.11654,0.05783,0.10501,0.12807
observed,observed,cnn_lstm,female,0.47361,0.01475,0.47067,0.47655,0.65885,0.02882,0.65310,0.66459,0.27003,0.05127,0.25980,0.28025,0.43466,0.04153,0.42638,0.44294,0.45962,0.04266,0.45112,0.46813,0.77153,0.01462,0.76862,0.77445,0.24697,0.05241,0.23652,0.25742,0.46260,0.01864,0.45888,0.46632,0.67245,0.06328,0.65983,0.68507,0.22635,0.06015,0.21436,0.23834,0.40594,0.07196,0.39159,0.42029,0.44643,0.08028,0.43042,0.46244,0.79856,0.03993,0.79060,0.80652,0.22587,0.06993,0.21193,0.23982
observed,observed,cnn_lstm,cauc,0.47125,0.01334,0.46859,0.47391,0.67561,0.02613,0.67040,0.68082,0.29543,0.04578,0.28630,0.30456,0.42479,0.03806,0.41720,0.43238,0.40841,0.04778,0.39889,0.41794,0.80728,0.01200,0.80488,0.80967,0.21598,0.04822,0.20637,0.22560,0.45599,0.01758,0.45249,0.45950,0.68456,0.05964,0.67267,0.69645,0.25001,0.05944,0.23815,0.26186,0.39075,0.06735,0.37732,0.40418,0.38464,0.08173,0.36834,0.40094,0.83621,0.03322,0.82958,0.84283,0.18979,0.05925,0.17798,0.20161
observed,observed,cnn_lstm,non-cauc,0.45987,0.01729,0.45642,0.46331,0.64913,0.03466,0.64222,0.65604,0.33418,0.05668,0.32288,0.34549,0.41369,0.05582,0.40255,0.42482,0.37647,0.05802,0.36490,0.38804,0.79982,0.01553,0.79673,0.80292,0.18590,0.05649,0.17464,0.19717,0.44776,0.02075,0.44362,0.45190,0.66509,0.07087,0.65096,0.67922,0.30973,0.08017,0.29374,0.32572,0.36846,0.07732,0.35304,0.38388,0.35262,0.08353,0.33596,0.36928,0.82018,0.03807,0.81258,0.82777,0.17047,0.06945,0.15662,0.18432
observed,observed,cnn_lstm_attention,male,0.43720,0.01932,0.43335,0.44105,0.67451,0.02582,0.66936,0.67966,0.33992,0.04332,0.33128,0.34855,0.39444,0.04868,0.38473,0.40415,0.27723,0.07090,0.26309,0.29137,0.83609,0.01250,0.83360,0.83858,0.10101,0.05352,0.09033,0.11168,0.40392,0.02036,0.39986,0.40798,0.65924,0.04916,0.64943,0.66904,0.29043,0.05629,0.27920,0.30166,0.32845,0.07094,0.31430,0.34259,0.21265,0.06922,0.19885,0.22645,0.86212,0.03016,0.85611,0.86814,0.07066,0.04098,0.06248,0.07883
observed,observed,cnn_lstm_attention,female,0.47149,0.01713,0.46807,0.47491,0.66939,0.02745,0.66392,0.67487,0.26113,0.04812,0.25153,0.27073,0.44332,0.04282,0.43479,0.45186,0.44116,0.05640,0.42991,0.45240,0.77831,0.01441,0.77544,0.78119,0.23562,0.05367,0.22491,0.24632,0.43972,0.01968,0.43579,0.44364,0.65927,0.05911,0.64748,0.67106,0.20098,0.05109,0.19079,0.21116,0.40201,0.07266,0.38752,0.41650,0.38155,0.07053,0.36749,0.39562,0.80678,0.03598,0.79961,0.81396,0.18772,0.06152,0.17545,0.19999
observed,observed,cnn_lstm_attention,cauc,0.46843,0.01504,0.46543,0.47143,0.68272,0.02336,0.67806,0.68738,0.28832,0.04270,0.27980,0.29683,0.42654,0.03997,0.41857,0.43452,0.39384,0.05224,0.38342,0.40426,0.81286,0.01199,0.81046,0.81525,0.20630,0.05078,0.19618,0.21643,0.43264,0.01815,0.42902,0.43626,0.66671,0.05148,0.65645,0.67698,0.22678,0.04809,0.21719,0.23637,0.37717,0.06504,0.36420,0.39014,0.32565,0.06576,0.31253,0.33876,0.84191,0.03076,0.83578,0.84805,0.15762,0.05281,0.14709,0.16815
observed,observed,cnn_lstm_attention,non-cauc,0.44994,0.01971,0.44601,0.45387,0.65309,0.03542,0.64603,0.66015,0.33723,0.04998,0.32727,0.34720,0.40954,0.05884,0.39781,0.42128,0.34957,0.06783,0.33604,0.36309,0.80683,0.01625,0.80359,0.81007,0.14338,0.05824,0.13177,0.15500,0.41742,0.02159,0.41312,0.42173,0.64568,0.06033,0.63365,0.65771,0.29317,0.06297,0.28061,0.30573,0.34496,0.08052,0.32891,0.36102,0.28483,0.07212,0.27045,0.29921,0.83011,0.03597,0.82293,0.83728,0.10578,0.05047,0.09571,0.11584
observed,observed,cnn_lstm_attention_multitask,male,0.42486,0.01798,0.42127,0.42844,0.67147,0.02769,0.66594,0.67699,0.33153,0.04372,0.32281,0.34025,0.38323,0.04853,0.37355,0.39290,0.24699,0.06890,0.23325,0.26073,0.84089,0.01135,0.83863,0.84315,0.07505,0.04890,0.06530,0.08480,0.38831,0.01709,0.38490,0.39171,0.65691,0.05425,0.64610,0.66773,0.27180,0.05666,0.26050,0.28310,0.31091,0.06102,0.29874,0.32308,0.17138,0.05921,0.15958,0.18319,0.87206,0.02954,0.86617,0.87795,0.04678,0.03337,0.04012,0.05343
observed,observed,cnn_lstm_attention_multitask,female,0.46046,0.01778,0.45692,0.46401,0.67424,0.03047,0.66816,0.68031,0.25335,0.05422,0.24254,0.26416,0.42853,0.04415,0.41973,0.43734,0.40452,0.05961,0.39263,0.41641,0.78226,0.01360,0.77954,0.78497,0.21988,0.04952,0.21001,0.22976,0.41931,0.01733,0.41585,0.42277,0.64963,0.05377,0.63890,0.66035,0.19425,0.05764,0.18275,0.20574,0.37362,0.06736,0.36019,0.38706,0.32588,0.07962,0.31000,0.34175,0.81056,0.03622,0.80333,0.81778,0.16194,0.04939,0.15209,0.17179
observed,observed,cnn_lstm_attention_multitask,cauc,0.45768,0.01682,0.45433,0.46103,0.68784,0.02459,0.68294,0.69274,0.27008,0.04948,0.26022,0.27995,0.41416,0.04518,0.40515,0.42317,0.36295,0.06276,0.35043,0.37546,0.81804,0.01097,0.81585,0.82022,0.19301,0.04544,0.18395,0.20207,0.41429,0.01620,0.41106,0.41752,0.66685,0.04916,0.65705,0.67666,0.20562,0.05432,0.19478,0.21645,0.35556,0.06362,0.34287,0.36824,0.27343,0.06712,0.26005,0.28682,0.84981,0.02949,0.84393,0.85569,0.13449,0.04036,0.12644,0.14254
observed,observed,cnn_lstm_attention_multitask,non-cauc,0.43606,0.02193,0.43169,0.44044,0.64533,0.03394,0.63856,0.65210,0.34391,0.04946,0.33405,0.35377,0.39346,0.05449,0.38260,0.40433,0.31126,0.07996,0.29532,0.32721,0.81022,0.01453,0.80733,0.81312,0.11220,0.06580,0.09907,0.12532,0.39929,0.02153,0.39500,0.40359,0.62940,0.05879,0.61768,0.64112,0.29513,0.06328,0.28251,0.30775,0.31774,0.06278,0.30523,0.33026,0.24068,0.08229,0.22427,0.25709,0.83638,0.03440,0.82952,0.84324,0.07642,0.05077,0.06630,0.08655
