target_intended_observed,model_intended_observed,model,bootstrap,subset,f1_score,f1_score_anger,f1_score_disgust,f1_score_fear,f1_score_happy,f1_score_neutral,f1_score_sad,recall,recall_anger,recall_disgust,recall_fear,recall_happy,recall_neutral,recall_sad
observed,intended,cnn_lstm,0,male,0.38981,0.62694,0.42424,0.38431,0.33673,0.35135,0.21530,0.48277,0.62694,0.42105,0.50515,0.55932,0.21697,0.56716
observed,intended,cnn_lstm,0,female,0.42038,0.68362,0.34951,0.37113,0.42194,0.42637,0.26974,0.44841,0.67222,0.39560,0.41221,0.56180,0.28253,0.36607
observed,intended,cnn_lstm,0,cauc,0.39968,0.66225,0.36013,0.36317,0.40134,0.37662,0.23454,0.45022,0.64655,0.38356,0.41765,0.59406,0.23967,0.41985
observed,intended,cnn_lstm,0,non-cauc,0.41783,0.64111,0.45283,0.41290,0.34328,0.40153,0.25532,0.48520,0.65248,0.46154,0.55172,0.48936,0.25610,0.50000
intended,intended,cnn_lstm,0,male,0.56596,0.73096,0.49577,0.45970,0.55689,0.60661,0.54583,0.55125,0.71642,0.39286,0.43503,0.47208,0.61585,0.67526
intended,intended,cnn_lstm,0,female,0.58172,0.71429,0.49191,0.52280,0.56962,0.66061,0.53107,0.56734,0.68421,0.39175,0.50888,0.53571,0.70323,0.58025
intended,intended,cnn_lstm,0,cauc,0.56734,0.72500,0.47748,0.48052,0.55656,0.62613,0.53833,0.55059,0.67181,0.37993,0.46058,0.50410,0.65258,0.63454
intended,intended,cnn_lstm,0,non-cauc,0.58823,0.71942,0.52727,0.51485,0.57692,0.64840,0.54251,0.57699,0.75758,0.41727,0.49524,0.49587,0.66981,0.62617
observed,intended,cnn_lstm,1,male,0.34451,0.63456,0.37450,0.27797,0.25185,0.35871,0.16949,0.42929,0.61878,0.38525,0.40196,0.57627,0.22309,0.37037
observed,intended,cnn_lstm,1,female,0.40445,0.63576,0.29661,0.31111,0.42991,0.42105,0.33225,0.45433,0.65306,0.31818,0.34711,0.65714,0.27387,0.47664
observed,intended,cnn_lstm,1,cauc,0.36666,0.61972,0.32362,0.26776,0.34808,0.37309,0.26768,0.44182,0.61972,0.33784,0.34752,0.67045,0.23371,0.44167
observed,intended,cnn_lstm,1,non-cauc,0.38491,0.66376,0.35955,0.34171,0.28966,0.40989,0.24490,0.44562,0.66087,0.38095,0.41463,0.51220,0.26606,0.43902
intended,intended,cnn_lstm,1,male,0.55647,0.70526,0.47337,0.46512,0.57757,0.62535,0.49215,0.53455,0.64423,0.38278,0.46392,0.58173,0.66467,0.47000
intended,intended,cnn_lstm,1,female,0.61777,0.73716,0.56051,0.54489,0.59661,0.68387,0.58355,0.60209,0.69318,0.46809,0.50575,0.58278,0.74126,0.62147
intended,intended,cnn_lstm,1,cauc,0.58743,0.71489,0.51852,0.49467,0.58316,0.66822,0.54511,0.56915,0.65370,0.41328,0.47541,0.60169,0.70443,0.56641
intended,intended,cnn_lstm,1,non-cauc,0.58142,0.73029,0.50909,0.51452,0.59031,0.62447,0.51982,0.56021,0.69291,0.44444,0.50000,0.54472,0.69159,0.48760
observed,intended,cnn_lstm,10,male,0.34613,0.64891,0.30405,0.34211,0.28571,0.30157,0.19444,0.46144,0.71277,0.35433,0.34513,0.66667,0.18064,0.50909
observed,intended,cnn_lstm,10,female,0.41412,0.64433,0.32889,0.39228,0.45217,0.34078,0.32628,0.47688,0.73529,0.38144,0.44526,0.61176,0.20962,0.47788
observed,intended,cnn_lstm,10,cauc,0.37560,0.64717,0.29545,0.32778,0.40132,0.31232,0.26957,0.45399,0.71245,0.33987,0.36420,0.64211,0.18842,0.47692
observed,intended,cnn_lstm,10,non-cauc,0.39258,0.64583,0.35503,0.45810,0.30882,0.33610,0.25157,0.49414,0.74400,0.42254,0.46591,0.60000,0.20611,0.52632
intended,intended,cnn_lstm,10,male,0.56339,0.73953,0.50000,0.45806,0.54819,0.57980,0.55474,0.55112,0.77561,0.45813,0.36410,0.54491,0.52353,0.64045
intended,intended,cnn_lstm,10,female,0.61695,0.75827,0.54667,0.54400,0.61728,0.65517,0.58034,0.60188,0.85143,0.47674,0.50746,0.55866,0.60897,0.60804
intended,intended,cnn_lstm,10,cauc,0.58449,0.76923,0.48472,0.50855,0.59594,0.58881,0.55973,0.56878,0.81028,0.42857,0.44074,0.56410,0.52838,0.64062
intended,intended,cnn_lstm,10,non-cauc,0.60406,0.71034,0.59813,0.49770,0.55399,0.67742,0.58678,0.59239,0.81102,0.55172,0.42857,0.52679,0.64948,0.58678
observed,intended,cnn_lstm,11,male,0.37344,0.66187,0.33910,0.38866,0.22564,0.41926,0.20611,0.43883,0.74194,0.40833,0.37795,0.43137,0.27038,0.40299
observed,intended,cnn_lstm,11,female,0.43745,0.66866,0.36530,0.41296,0.44335,0.43784,0.29658,0.49388,0.84211,0.41667,0.43590,0.58442,0.28622,0.39796
observed,intended,cnn_lstm,11,cauc,0.40537,0.66528,0.35015,0.40230,0.33582,0.42797,0.25070,0.46426,0.79208,0.40972,0.40698,0.51724,0.27820,0.38136
observed,intended,cnn_lstm,11,non-cauc,0.40488,0.66421,0.35088,0.39726,0.33846,0.42545,0.25301,0.47445,0.76923,0.41667,0.40278,0.53659,0.27465,0.44681
intended,intended,cnn_lstm,11,male,0.54802,0.73023,0.50129,0.43529,0.44118,0.61307,0.56709,0.53568,0.78894,0.44495,0.33636,0.38265,0.70115,0.56000
intended,intended,cnn_lstm,11,female,0.61990,0.72022,0.60351,0.53968,0.57432,0.70336,0.57831,0.60574,0.81761,0.53086,0.45946,0.50000,0.75163,0.57485
intended,intended,cnn_lstm,11,cauc,0.57173,0.71206,0.53304,0.46501,0.47926,0.66667,0.57434,0.55647,0.77872,0.46360,0.38577,0.41107,0.73568,0.56400
intended,intended,cnn_lstm,11,non-cauc,0.59921,0.75090,0.56881,0.52830,0.55446,0.62500,0.56780,0.59009,0.84553,0.52101,0.40580,0.49558,0.70000,0.57265
observed,intended,cnn_lstm,12,male,0.35597,0.63912,0.37037,0.33117,0.29630,0.29595,0.20290,0.43451,0.70303,0.48000,0.38346,0.46377,0.17680,0.40000
observed,intended,cnn_lstm,12,female,0.38592,0.64140,0.25726,0.39041,0.40000,0.36391,0.26255,0.43068,0.72368,0.32292,0.45600,0.48837,0.22753,0.36559
observed,intended,cnn_lstm,12,cauc,0.36319,0.63948,0.29609,0.34826,0.34602,0.31055,0.23873,0.42867,0.68981,0.41085,0.40462,0.48077,0.18772,0.39823
observed,intended,cnn_lstm,12,non-cauc,0.38563,0.64167,0.36715,0.38384,0.35036,0.35556,0.21519,0.44218,0.76238,0.41304,0.44706,0.47059,0.22000,0.34000
intended,intended,cnn_lstm,12,male,0.56490,0.73282,0.50515,0.46632,0.55488,0.59756,0.53266,0.54374,0.73846,0.51852,0.42654,0.50276,0.52406,0.55208
intended,intended,cnn_lstm,12,female,0.58492,0.70845,0.46945,0.55522,0.51903,0.69853,0.55882,0.56771,0.73864,0.43976,0.55357,0.45455,0.67376,0.54598
intended,intended,cnn_lstm,12,cauc,0.57038,0.72545,0.47009,0.49580,0.51905,0.65174,0.56016,0.54922,0.72691,0.46025,0.47773,0.46383,0.58222,0.58436
intended,intended,cnn_lstm,12,non-cauc,0.58119,0.71264,0.52814,0.53061,0.57868,0.62626,0.51082,0.56262,0.76230,0.52586,0.49242,0.51351,0.60194,0.47967
observed,intended,cnn_lstm,13,male,0.32995,0.62981,0.28044,0.22642,0.24576,0.41293,0.18433,0.39425,0.71585,0.31405,0.21818,0.46774,0.26506,0.38462
observed,intended,cnn_lstm,13,female,0.42118,0.66489,0.28085,0.31050,0.44715,0.48768,0.33600,0.44879,0.74405,0.31132,0.26154,0.61798,0.33788,0.42000
observed,intended,cnn_lstm,13,cauc,0.38081,0.64440,0.28037,0.27119,0.36086,0.45973,0.26829,0.43076,0.72566,0.30405,0.23392,0.59000,0.30787,0.42308
observed,intended,cnn_lstm,13,non-cauc,0.36649,0.65018,0.28108,0.26471,0.32258,0.42142,0.25899,0.41110,0.73600,0.32911,0.26087,0.49020,0.27540,0.37500
intended,intended,cnn_lstm,13,male,0.51232,0.73009,0.48214,0.32302,0.47671,0.60891,0.45304,0.49166,0.75342,0.43548,0.24868,0.45550,0.64062,0.41624
intended,intended,cnn_lstm,13,female,0.57827,0.71392,0.54019,0.41699,0.55072,0.69054,0.55728,0.56282,0.75401,0.46154,0.31765,0.50532,0.81818,0.52023
intended,intended,cnn_lstm,13,cauc,0.52835,0.72101,0.46588,0.35772,0.50535,0.66055,0.45957,0.51224,0.73978,0.39286,0.26939,0.49167,0.74074,0.43902
intended,intended,cnn_lstm,13,non-cauc,0.57548,0.72542,0.59459,0.38674,0.52675,0.62400,0.59535,0.55296,0.78102,0.56897,0.30702,0.46043,0.68421,0.51613
observed,intended,cnn_lstm,14,male,0.36039,0.61927,0.41296,0.27304,0.28708,0.37669,0.19331,0.45756,0.72973,0.43590,0.37736,0.52632,0.23537,0.44068
observed,intended,cnn_lstm,14,female,0.41335,0.64516,0.36444,0.41261,0.48246,0.36798,0.20747,0.46959,0.79470,0.39806,0.48980,0.63953,0.23227,0.26316
observed,intended,cnn_lstm,14,cauc,0.38893,0.61923,0.39873,0.35294,0.39716,0.37090,0.19459,0.45869,0.75587,0.41447,0.46429,0.57732,0.23248,0.30769
observed,intended,cnn_lstm,14,non-cauc,0.38839,0.65278,0.37179,0.34000,0.37419,0.37729,0.21429,0.47731,0.76423,0.42647,0.40000,0.63043,0.23733,0.40541
intended,intended,cnn_lstm,14,male,0.57214,0.69778,0.52439,0.47120,0.53889,0.65426,0.54634,0.56328,0.78894,0.43434,0.46154,0.46635,0.66848,0.56000
intended,intended,cnn_lstm,14,female,0.59282,0.70649,0.52667,0.61266,0.58442,0.63430,0.49240,0.58225,0.82927,0.44382,0.62694,0.54217,0.60870,0.44262
intended,intended,cnn_lstm,14,cauc,0.58907,0.71636,0.50718,0.55787,0.55738,0.65817,0.53743,0.57684,0.81070,0.41732,0.58103,0.49174,0.63786,0.52239
intended,intended,cnn_lstm,14,non-cauc,0.56916,0.67368,0.56190,0.51200,0.56432,0.61682,0.48624,0.56346,0.80000,0.48361,0.47407,0.51515,0.64706,0.46087
observed,intended,cnn_lstm,15,male,0.34819,0.64665,0.34891,0.32314,0.24896,0.35123,0.17021,0.44404,0.76087,0.42748,0.30328,0.63830,0.21685,0.31746
observed,intended,cnn_lstm,15,female,0.38873,0.67003,0.24000,0.32500,0.44444,0.36416,0.28873,0.44406,0.77778,0.29032,0.30709,0.65854,0.22868,0.40196
observed,intended,cnn_lstm,15,cauc,0.37261,0.67784,0.30303,0.32000,0.33735,0.34405,0.25337,0.44771,0.77447,0.36913,0.30588,0.62921,0.21262,0.39496
observed,intended,cnn_lstm,15,non-cauc,0.36678,0.62116,0.30601,0.33333,0.36842,0.38258,0.18919,0.44681,0.75833,0.37333,0.30380,0.70000,0.24105,0.30435
intended,intended,cnn_lstm,15,male,0.54460,0.69011,0.51175,0.35526,0.60000,0.63006,0.48045,0.53711,0.76214,0.50777,0.27411,0.59694,0.61932,0.46237
intended,intended,cnn_lstm,15,female,0.60275,0.74092,0.50331,0.50000,0.58683,0.67138,0.61408,0.59037,0.81818,0.44706,0.41143,0.56647,0.66901,0.63006
intended,intended,cnn_lstm,15,cauc,0.57485,0.74427,0.48124,0.41709,0.58197,0.65888,0.56566,0.56225,0.79623,0.45607,0.34156,0.57959,0.62389,0.57613
intended,intended,cnn_lstm,15,non-cauc,0.56859,0.65781,0.56034,0.44330,0.61864,0.62687,0.50459,0.56310,0.77344,0.52419,0.33333,0.58871,0.68478,0.47414
observed,intended,cnn_lstm,16,male,0.36361,0.65619,0.30303,0.32982,0.33161,0.30999,0.25101,0.44849,0.83085,0.30702,0.42342,0.54237,0.18468,0.40260
observed,intended,cnn_lstm,16,female,0.40125,0.59701,0.24390,0.41606,0.44776,0.37535,0.32740,0.44787,0.78947,0.23148,0.44186,0.57692,0.23675,0.41071
observed,intended,cnn_lstm,16,cauc,0.38059,0.62759,0.27437,0.37940,0.38686,0.33333,0.28198,0.44590,0.79825,0.26761,0.41420,0.59551,0.20278,0.39706
observed,intended,cnn_lstm,16,non-cauc,0.38962,0.63444,0.27673,0.35789,0.40000,0.35140,0.31724,0.45740,0.84000,0.27500,0.47887,0.50000,0.21659,0.43396
intended,intended,cnn_lstm,16,male,0.54316,0.70833,0.40514,0.48148,0.52853,0.62295,0.51253,0.52093,0.85000,0.32474,0.44608,0.44221,0.57576,0.48677
intended,intended,cnn_lstm,16,female,0.58227,0.71831,0.46715,0.50784,0.57931,0.66212,0.55890,0.56480,0.86932,0.36158,0.46552,0.50299,0.66897,0.52041
intended,intended,cnn_lstm,16,cauc,0.56418,0.72757,0.41885,0.47912,0.55869,0.66329,0.53755,0.54240,0.85441,0.32389,0.42745,0.49378,0.62981,0.52510
intended,intended,cnn_lstm,16,non-cauc,0.55685,0.68622,0.46305,0.52066,0.53807,0.60099,0.53211,0.54004,0.86667,0.37903,0.51220,0.42400,0.59804,0.46032
observed,intended,cnn_lstm,17,male,0.37610,0.68380,0.39823,0.40000,0.28148,0.33705,0.15603,0.45635,0.70000,0.39130,0.43966,0.62295,0.20488,0.37931
observed,intended,cnn_lstm,17,female,0.42003,0.65653,0.30303,0.37453,0.43312,0.40839,0.34457,0.46656,0.68354,0.27273,0.36496,0.77273,0.26306,0.44231
observed,intended,cnn_lstm,17,cauc,0.39505,0.66524,0.37722,0.34188,0.38025,0.36735,0.23834,0.45830,0.67391,0.35570,0.35088,0.73333,0.22890,0.40708
observed,intended,cnn_lstm,17,non-cauc,0.40587,0.68254,0.30769,0.47953,0.32402,0.37148,0.26994,0.47637,0.72881,0.28947,0.50000,0.65909,0.23185,0.44898
intended,intended,cnn_lstm,17,male,0.58341,0.77184,0.48110,0.47531,0.58738,0.60172,0.58313,0.55563,0.74648,0.38889,0.41622,0.59606,0.55263,0.63351
intended,intended,cnn_lstm,17,female,0.60762,0.73373,0.50376,0.49191,0.63636,0.71028,0.56970,0.58453,0.74251,0.37640,0.42458,0.69271,0.70807,0.56287
intended,intended,cnn_lstm,17,cauc,0.59855,0.76483,0.46995,0.48804,0.61189,0.65502,0.60156,0.57253,0.73913,0.36752,0.42857,0.64338,0.61224,0.64435
intended,intended,cnn_lstm,17,non-cauc,0.58851,0.73563,0.53403,0.47442,0.61240,0.65094,0.52361,0.56296,0.75591,0.41129,0.40476,0.64228,0.65094,0.51261
observed,intended,cnn_lstm,18,male,0.35774,0.64775,0.37447,0.34343,0.23108,0.34907,0.20063,0.45632,0.68844,0.35772,0.43590,0.51786,0.21342,0.52459
observed,intended,cnn_lstm,18,female,0.40788,0.64646,0.29744,0.37458,0.39167,0.37462,0.36250,0.46814,0.65306,0.32222,0.42424,0.68116,0.23664,0.49153
observed,intended,cnn_lstm,18,cauc,0.38833,0.63556,0.34266,0.35981,0.31548,0.34841,0.32809,0.46904,0.64706,0.36296,0.43750,0.62353,0.21420,0.52899
observed,intended,cnn_lstm,18,non-cauc,0.36853,0.66667,0.33333,0.35714,0.29677,0.38202,0.17526,0.44481,0.72000,0.30769,0.41096,0.57500,0.24057,0.41463
intended,intended,cnn_lstm,18,male,0.56890,0.71396,0.46541,0.50000,0.58015,0.60843,0.54545,0.55997,0.73239,0.35922,0.46635,0.57576,0.60843,0.61765
intended,intended,cnn_lstm,18,female,0.60624,0.74760,0.50714,0.53026,0.58025,0.66909,0.60309,0.59159,0.71779,0.40571,0.51111,0.61438,0.67153,0.62903
intended,intended,cnn_lstm,18,cauc,0.58392,0.73840,0.47087,0.50672,0.57620,0.63840,0.57295,0.57194,0.71429,0.37165,0.49071,0.60526,0.61836,0.63137
intended,intended,cnn_lstm,18,non-cauc,0.59129,0.71014,0.51613,0.53271,0.58824,0.63107,0.56944,0.58011,0.74809,0.40000,0.47899,0.56911,0.67708,0.60741
observed,intended,cnn_lstm,19,male,0.32356,0.56173,0.37895,0.31293,0.24080,0.26322,0.18375,0.42091,0.50000,0.43200,0.41071,0.61017,0.15321,0.41935
observed,intended,cnn_lstm,19,female,0.40043,0.61486,0.32314,0.41638,0.41727,0.37375,0.25714,0.45586,0.57233,0.40659,0.44853,0.69880,0.23393,0.37500
observed,intended,cnn_lstm,19,cauc,0.36380,0.57979,0.36310,0.36500,0.34257,0.30564,0.22670,0.44681,0.50698,0.43571,0.43452,0.70833,0.18244,0.41284
observed,intended,cnn_lstm,19,non-cauc,0.35358,0.59836,0.33708,0.36364,0.28889,0.32871,0.20482,0.41862,0.57937,0.39474,0.42500,0.56522,0.20048,0.34694
intended,intended,cnn_lstm,19,male,0.55735,0.62048,0.52125,0.48120,0.56221,0.58065,0.57831,0.53634,0.54211,0.47668,0.44240,0.62887,0.50943,0.61856
intended,intended,cnn_lstm,19,female,0.61581,0.68354,0.58000,0.57143,0.57373,0.70903,0.57714,0.59286,0.60335,0.53704,0.53631,0.60112,0.67089,0.60843
intended,intended,cnn_lstm,19,cauc,0.58460,0.64020,0.55300,0.50916,0.57505,0.65285,0.57736,0.56107,0.53306,0.50420,0.48263,0.63095,0.58333,0.63223
intended,intended,cnn_lstm,19,non-cauc,0.58712,0.66939,0.53881,0.54918,0.55118,0.63542,0.57872,0.56709,0.64567,0.50427,0.48905,0.58333,0.60396,0.57627
observed,intended,cnn_lstm,2,male,0.33870,0.62632,0.38312,0.29971,0.20264,0.29561,0.22481,0.43229,0.61979,0.43066,0.46429,0.48936,0.17534,0.41429
observed,intended,cnn_lstm,2,female,0.40870,0.65060,0.34703,0.39506,0.43119,0.35465,0.27368,0.46967,0.66258,0.36538,0.49612,0.66197,0.22142,0.41053
observed,intended,cnn_lstm,2,cauc,0.37012,0.62882,0.33939,0.31858,0.34098,0.32047,0.27248,0.44950,0.61803,0.36601,0.45000,0.63415,0.19401,0.43478
observed,intended,cnn_lstm,2,non-cauc,0.37624,0.65354,0.41624,0.40183,0.25714,0.32413,0.20455,0.45779,0.68033,0.46591,0.54321,0.50000,0.19731,0.36000
intended,intended,cnn_lstm,2,male,0.58101,0.73869,0.54211,0.52466,0.53521,0.62295,0.52243,0.56177,0.70000,0.49282,0.55450,0.54286,0.56213,0.51832
intended,intended,cnn_lstm,2,female,0.62720,0.72141,0.56081,0.60847,0.63291,0.66899,0.57062,0.60828,0.71512,0.45856,0.62842,0.59172,0.64000,0.61585
intended,intended,cnn_lstm,2,cauc,0.60615,0.73554,0.53917,0.57356,0.58079,0.63402,0.57380,0.58664,0.68726,0.45525,0.62857,0.56596,0.58019,0.60262
intended,intended,cnn_lstm,2,non-cauc,0.59604,0.72157,0.57025,0.54355,0.58216,0.66667,0.49206,0.58111,0.74797,0.51880,0.52349,0.56881,0.63551,0.49206
observed,intended,cnn_lstm,20,male,0.35562,0.64211,0.40580,0.28571,0.23364,0.38462,0.18182,0.42617,0.67403,0.51852,0.37302,0.41667,0.24142,0.33333
observed,intended,cnn_lstm,20,female,0.41146,0.68391,0.33745,0.31734,0.37229,0.45344,0.30435,0.46720,0.76774,0.39048,0.35833,0.61429,0.30000,0.37234
observed,intended,cnn_lstm,20,cauc,0.39261,0.66975,0.37135,0.30216,0.34098,0.40562,0.26578,0.46304,0.73232,0.46358,0.36207,0.59091,0.25897,0.37037
observed,intended,cnn_lstm,20,non-cauc,0.36639,0.65085,0.38863,0.29508,0.22857,0.43051,0.20472,0.41940,0.69565,0.46067,0.37500,0.38095,0.27912,0.32500
intended,intended,cnn_lstm,20,male,0.57928,0.72040,0.54893,0.50239,0.52571,0.66845,0.50980,0.56333,0.72222,0.55024,0.48837,0.46939,0.72254,0.42723
intended,intended,cnn_lstm,20,female,0.59877,0.74930,0.54154,0.50467,0.56798,0.71429,0.51485,0.59371,0.82099,0.47059,0.47647,0.55294,0.77419,0.46707
intended,intended,cnn_lstm,20,cauc,0.59557,0.73568,0.54065,0.52259,0.55895,0.70538,0.51016,0.58300,0.76256,0.50000,0.50000,0.53112,0.75229,0.45200
intended,intended,cnn_lstm,20,non-cauc,0.57425,0.73154,0.55556,0.46087,0.52018,0.66122,0.51613,0.56467,0.77305,0.53846,0.44538,0.46400,0.73636,0.43077
observed,intended,cnn_lstm,21,male,0.35574,0.61035,0.40433,0.30721,0.26778,0.34983,0.19495,0.45108,0.63277,0.45902,0.41880,0.50794,0.21429,0.47368
observed,intended,cnn_lstm,21,female,0.39004,0.59364,0.29907,0.38150,0.40167,0.36212,0.30225,0.44518,0.58333,0.36782,0.51562,0.55172,0.22530,0.42727
observed,intended,cnn_lstm,21,cauc,0.36588,0.58968,0.33987,0.33407,0.33016,0.34328,0.25822,0.43764,0.59701,0.39394,0.43182,0.53061,0.21029,0.46218
observed,intended,cnn_lstm,21,non-cauc,0.39044,0.62551,0.38919,0.37143,0.34356,0.37838,0.23457,0.47281,0.63333,0.46753,0.56522,0.53846,0.23649,0.39583
intended,intended,cnn_lstm,21,male,0.56192,0.68394,0.48603,0.46875,0.58586,0.60234,0.54458,0.54865,0.67347,0.42857,0.49451,0.52727,0.58857,0.57949
intended,intended,cnn_lstm,21,female,0.61015,0.70432,0.53333,0.56140,0.60661,0.66447,0.59079,0.59106,0.65432,0.44681,0.61878,0.55801,0.61963,0.64881
intended,intended,cnn_lstm,21,cauc,0.56723,0.68966,0.48292,0.50391,0.56729,0.60890,0.55072,0.55156,0.65502,0.40000,0.55365,0.51504,0.56522,0.62041
intended,intended,cnn_lstm,21,non-cauc,0.62039,0.69841,0.55556,0.53875,0.65041,0.67580,0.60345,0.60510,0.68217,0.51587,0.56154,0.59259,0.68519,0.59322
observed,intended,cnn_lstm,22,male,0.33959,0.64838,0.31734,0.37722,0.25225,0.29561,0.14672,0.43369,0.70270,0.36134,0.51961,0.50909,0.17607,0.33333
observed,intended,cnn_lstm,22,female,0.38384,0.63102,0.27344,0.37063,0.44954,0.32759,0.25080,0.43273,0.67429,0.33654,0.39259,0.64474,0.20000,0.34821
observed,intended,cnn_lstm,22,cauc,0.37197,0.62526,0.32768,0.35450,0.39333,0.30724,0.22381,0.44511,0.65086,0.38158,0.42675,0.67045,0.18492,0.35606
observed,intended,cnn_lstm,22,non-cauc,0.33782,0.66438,0.23121,0.41270,0.25714,0.31481,0.14667,0.40544,0.75781,0.28169,0.48750,0.41860,0.18973,0.29730
intended,intended,cnn_lstm,22,male,0.55621,0.72381,0.47904,0.46809,0.56216,0.61199,0.49215,0.53514,0.74510,0.43956,0.44670,0.51232,0.54494,0.52222
intended,intended,cnn_lstm,22,female,0.60937,0.74242,0.56725,0.57313,0.53289,0.64151,0.59898,0.58252,0.74619,0.51053,0.52174,0.50000,0.61151,0.60513
intended,intended,cnn_lstm,22,cauc,0.58393,0.72407,0.50885,0.52564,0.55876,0.63351,0.55273,0.55930,0.71154,0.46000,0.49798,0.52720,0.57895,0.58015
intended,intended,cnn_lstm,22,non-cauc,0.57888,0.74754,0.55357,0.50206,0.52915,0.61000,0.53097,0.55600,0.80851,0.50820,0.45522,0.46825,0.56481,0.53097
observed,intended,cnn_lstm,23,male,0.35849,0.63298,0.41538,0.32143,0.24615,0.31484,0.22018,0.45021,0.71687,0.43548,0.34951,0.42857,0.19015,0.58065
observed,intended,cnn_lstm,23,female,0.39482,0.60390,0.29630,0.33784,0.47664,0.33333,0.32092,0.45750,0.65493,0.33645,0.35461,0.67105,0.20459,0.52336
observed,intended,cnn_lstm,23,cauc,0.38148,0.63109,0.36304,0.33333,0.38406,0.30799,0.26939,0.46073,0.68342,0.38194,0.34911,0.62353,0.18540,0.54098
observed,intended,cnn_lstm,23,non-cauc,0.37306,0.60079,0.35000,0.32530,0.33083,0.35185,0.27957,0.44987,0.69725,0.40230,0.36000,0.46809,0.21839,0.55319
intended,intended,cnn_lstm,23,male,0.56271,0.72727,0.48588,0.45098,0.55132,0.60526,0.55556,0.54417,0.75127,0.39450,0.37297,0.46535,0.60526,0.67568
intended,intended,cnn_lstm,23,female,0.60424,0.66265,0.56075,0.56213,0.57912,0.64539,0.61538,0.58497,0.66265,0.48649,0.51913,0.54088,0.59477,0.70588
intended,intended,cnn_lstm,23,cauc,0.58608,0.70085,0.47170,0.52830,0.57277,0.64416,0.59871,0.56556,0.69492,0.37736,0.46862,0.51915,0.59330,0.74000
intended,intended,cnn_lstm,23,non-cauc,0.57633,0.69373,0.60558,0.47273,0.54717,0.58706,0.55172,0.55984,0.74016,0.55072,0.40310,0.46032,0.61458,0.59016
observed,intended,cnn_lstm,24,male,0.35032,0.64191,0.31293,0.35659,0.23673,0.36813,0.18565,0.42512,0.69143,0.38983,0.41441,0.45312,0.22905,0.37288
observed,intended,cnn_lstm,24,female,0.39750,0.67236,0.30159,0.34568,0.40000,0.40390,0.26148,0.45278,0.71084,0.43678,0.29167,0.68919,0.26079,0.32743
observed,intended,cnn_lstm,24,cauc,0.38609,0.67949,0.32113,0.34561,0.35329,0.39663,0.22039,0.45264,0.71946,0.42857,0.33889,0.64835,0.25268,0.32787
observed,intended,cnn_lstm,24,non-cauc,0.35288,0.61538,0.28272,0.36486,0.25301,0.35926,0.24204,0.40875,0.66667,0.37500,0.36000,0.44681,0.22402,0.38000
intended,intended,cnn_lstm,24,male,0.55268,0.69652,0.51872,0.45820,0.51562,0.62147,0.50556,0.53543,0.70000,0.48990,0.42045,0.48768,0.61453,0.50000
intended,intended,cnn_lstm,24,female,0.59625,0.72778,0.56901,0.49485,0.56322,0.66452,0.55814,0.58161,0.74857,0.53158,0.37500,0.58683,0.69595,0.55172
intended,intended,cnn_lstm,24,cauc,0.58322,0.72470,0.53333,0.49515,0.55144,0.65639,0.53830,0.56690,0.72470,0.49612,0.42678,0.55144,0.66518,0.53719
intended,intended,cnn_lstm,24,non-cauc,0.55367,0.68657,0.56225,0.43564,0.51220,0.60952,0.51584,0.53595,0.71875,0.53846,0.34109,0.49606,0.62136,0.50000
observed,intended,cnn_lstm,25,male,0.34722,0.61809,0.31715,0.35587,0.30137,0.31027,0.18056,0.44843,0.71512,0.41176,0.42735,0.55000,0.18633,0.40000
observed,intended,cnn_lstm,25,female,0.40689,0.66667,0.28807,0.35842,0.43925,0.38928,0.29965,0.47464,0.76471,0.41667,0.38760,0.61842,0.25091,0.40952
observed,intended,cnn_lstm,25,cauc,0.37892,0.65546,0.29752,0.33690,0.37589,0.34775,0.26000,0.47430,0.73934,0.42188,0.37278,0.66250,0.21600,0.43333
observed,intended,cnn_lstm,25,non-cauc,0.37039,0.61538,0.31746,0.39785,0.35762,0.33977,0.19429,0.44142,0.73684,0.40000,0.48052,0.48214,0.20903,0.34000
intended,intended,cnn_lstm,25,male,0.55987,0.72131,0.48794,0.46649,0.53297,0.59813,0.55238,0.55052,0.76617,0.49727,0.41627,0.47317,0.56140,0.58883
intended,intended,cnn_lstm,25,female,0.63338,0.78075,0.60000,0.53416,0.63694,0.67541,0.57300,0.62612,0.82955,0.57895,0.50000,0.56818,0.70548,0.57459
intended,intended,cnn_lstm,25,cauc,0.60177,0.76538,0.53617,0.50337,0.56629,0.66213,0.57728,0.59040,0.78039,0.53617,0.46667,0.51852,0.63755,0.60311
intended,intended,cnn_lstm,25,non-cauc,0.57785,0.71886,0.54936,0.48800,0.60944,0.57297,0.52846,0.57538,0.82787,0.53782,0.43262,0.51449,0.60227,0.53719
observed,intended,cnn_lstm,26,male,0.35937,0.59843,0.38491,0.28221,0.35632,0.31484,0.21951,0.45696,0.67857,0.42857,0.44660,0.60784,0.18886,0.39130
observed,intended,cnn_lstm,26,female,0.39396,0.61947,0.32520,0.45098,0.37989,0.35155,0.23664,0.44198,0.65625,0.37383,0.53906,0.52308,0.21519,0.34444
observed,intended,cnn_lstm,26,cauc,0.36243,0.57952,0.34218,0.33493,0.36199,0.32339,0.23256,0.43497,0.63333,0.38411,0.45752,0.55556,0.19467,0.38462
